task_id,system,subsystem,location_or_asset,task_name,cadence,frequency_in_days,cadence_anchor,actor_type,amc_vendor,acceptance_criteria,evidence_required,reference_policy,nabh_standard_ref,priority_weight,draft_status,notes
FT-011,Fire Safety,Fire Drill,Whole Building,"Conduct fire mock drill — test evacuation route, assembly point, response times",semi_annual,180,April / October,in_house,,All staff evacuate within 6 min; nominal headcount at assembly; gaps documented in CAPA,selfie+photo,FMS.1.c,FMS.1.c,85,proposed,Pair with Q13 Fire/Non-Fire Emergency Mgmt SOP
FT-012,Fire Safety,Fire Extinguishers,All Floors,Annual extinguisher refilling/servicing by certified vendor,annual,365,refill due date on label,amc_supervised,Fire extinguisher vendor,All extinguishers refilled; new tag with next refill date; service certificate filed,selfie+vendor_report+next_due_date,Fire & Safety SOP,FMS.1.a,90,proposed,
FT-013,Fire Safety,Fire Pump,Pump Room,"Annual fire pump load test, churn test, motor inspection",annual,365,fixed annual,amc_supervised,Fire system AMC vendor,Pump delivers rated flow at rated head; motor amps within spec; report filed,selfie+vendor_report+next_due_date,Fire & Safety SOP,"FMS.1.a, FMS.4.c",80,proposed,
FT-014,MGPS,Oxygen Manifold,Manifold Room - Left Bank,"Manifold inspection — left bank cylinder count, pressure gauge reading, chains secured",daily,1,every day,in_house,,All 3 cylinders chained; gauge reading recorded; no audible alarm on left bank,selfie+photo+reading,"FMS.6.a, FMS_6a Medical Gas Policy","FMS.6.a, FMS.6.b",95,proposed,
FT-015,MGPS,Oxygen Manifold,Manifold Room - Right Bank,"Manifold inspection — right bank cylinder count, pressure gauge reading, chains secured",daily,1,every day,in_house,,All 3 cylinders chained; gauge reading recorded; identifies which bank is active,selfie+photo+reading,FMS.6.a,"FMS.6.a, FMS.6.b",95,proposed,
FT-016,MGPS,Oxygen Manifold,Manifold Room,Verify automatic changeover system status (Kumar's auto-changeover) — no fault indicators,daily,1,every day,in_house,,Active bank indicator visible; changeover unit shows no fault; alarm test panel green,selfie+photo,"FMS.6.a, FMS.6.d",FMS.6.d,95,proposed,
FT-017,MGPS,Compressed Air,Plant Room,"Ingersoll Rand compressor #1 + #2 — running status, pressure, oil level, no leaks",daily,1,every day,in_house,,Duty unit running; standby in auto; line pressure 4–5 kg/cm²; no audible leaks,selfie+photo+reading,"FMS.6.b, FMS.6.d","FMS.6.b, FMS.6.d",85,proposed,
FT-018,MGPS,Vacuum,Plant Room,"Vacuum pumps — single-stage + two-stage IR pumps — running, suction reading, no overheating",daily,1,every day,in_house,,Duty pump operational; suction ≥−500 mmHg; standby in auto; pumps cool to touch,selfie+photo+reading,"FMS.6.b, FMS.6.d","FMS.6.b, FMS.6.d",80,proposed,
FT-019,MGPS,Oxygen Cylinders,Manifold Room,"Cylinder inventory — count full vs empty, segregation correct, replacement log updated",daily,1,every day,in_house,,Full cylinders chained on standby bank; empty cylinders in segregated zone; log signed,selfie+photo,FMS.6.a,"FMS.6.a, FMS.6.b",75,proposed,
FT-020,MGPS,Type-B Cylinders,ICU/OT/ER/Wards,"Portable Type-B oxygen cylinder check — pressure, regulator function, location verified",weekly,7,every Monday,in_house,,Each Type-B cylinder ≥150 kg/cm² fill; regulator and flow meter function; in correct bay,selfie+photo+reading,"FMS.6.d, FMS.6.e","FMS.6.d, FMS.6.e",90,proposed,"Locations: every ICU bed, OT 1/2/3, ER, ward floors per FMS.6.d"
FT-021,MGPS,Bed Head Panels,Patient Care Areas,"Bed head panel outlets — visual inspection of O2/Air/Vac labels, color coding, outlet integrity",weekly,7,rotating floors,in_house,,Color codes intact; outlets click-lock; no oil/grease near outlets; signage legible,selfie+photo,"FMS.6.b, FMS.6.c","FMS.6.b, FMS.6.c",70,proposed,
FT-022,MGPS,Zone Valves,All Floors,"MGPS zone isolation valves — visual condition, accessible, labeled, position correct",weekly,7,every Tuesday,in_house,,"All zone valves labeled, accessible (not blocked), in OPEN normal-operating position",selfie+photo,"FMS.6.b, FMS.6.c","FMS.6.b, FMS.6.c",80,proposed,
FT-023,MGPS,Manifold Room,Manifold Area,"Manifold area condition — ventilation, no oil/grease, no smoking signage, restricted access enforced",weekly,7,every Wednesday,in_house,,Vents unblocked; no oil/grease/combustibles; signage in place; door access controlled,selfie+photo,FMS.6.a,"FMS.6.a, FMS.6.b",70,proposed,
FT-024,MGPS,MGPS Alarms,Manifold + Bedside,Functional test of MGPS audible/visual alarms — manifold panel + bedside panel alarms,monthly,30,15th of month,in_house,,Audible alarm sounds on test; bedside panels show indicator; staff response within 5 min,selfie+photo,FMS.6.b,FMS.6.b,90,proposed,
FT-025,MGPS,Oxygen Bank Changeover,Manifold Room,Simulate left-bank depletion — verify automatic switch to right bank + alarm activation,monthly,30,1st of month,in_house,,System switches to standby bank without supply interruption; alarm activates; reset works,selfie+photo,"FMS.6.d, FMS.6.e","FMS.6.d, FMS.6.e",95,proposed,
FT-026,MGPS,Emergency Inlet Valve,Manifold Room,"Emergency inlet valve test — connect spare cylinder, verify pressure stabilization at clinical outlets",monthly,30,15th of month,in_house,,Inlet accepts cylinder; pressure stabilizes ≥4 kg/cm² at ICU/OT/ER outlets,selfie+photo+reading,FMS.6.e,FMS.6.e,90,proposed,
FT-027,MGPS,Compressor Changeover,Plant Room,"Compressor duty/standby switchover test — manually swap, verify standby takes load",monthly,30,end of month,in_house,,Standby starts within 30 sec; pressure recovers within 60 sec; both compressors run on demand,selfie+photo,"FMS.6.d, FMS.6.e","FMS.6.d, FMS.6.e",85,proposed,
FT-028,MGPS,Vacuum Pump Changeover,Plant Room,"Vacuum pump duty/standby test — swap pumps, confirm continuous suction",monthly,30,end of month,in_house,,Standby pump assumes load; suction holds ≥−500 mmHg; no service interruption,selfie+photo,"FMS.6.d, FMS.6.e","FMS.6.d, FMS.6.e",80,proposed,
FT-029,MGPS,Standalone Vacuum,OT/ICU/Wards,"Standalone 0.5HP/1HP vacuum pump function — power on, suction test, electrical safety",monthly,30,15th of month,in_house,,Each standalone pump powers on; achieves suction; cord/plug intact; ELCB tests OK,selfie+photo+reading,"FMS.6.d, FMS.6.e","FMS.6.d, FMS.6.e",80,proposed,
FT-030,MGPS,MGPS Pipeline,Whole System,Comprehensive pipeline pressure & leak test by AMC vendor; alarm + zone valve service,quarterly,90,1st month of quarter,amc_supervised,MGPS AMC (Green ASU / equivalent),Pressure stable; no leaks at joints; alarms test pass; zone valves serviced; report filed,selfie+vendor_report+next_due_date,FMS.6.c,"FMS.6.c, FMS.6.b",90,proposed,
FT-031,MGPS,Oxygen Purity,Plant Room,Medical oxygen purity test — sample for analysis (≥99% O2),quarterly,90,1st month of quarter,amc_supervised,MGPS AMC vendor,Lab report ≥99% O2 purity; CO/H2O within IS spec; certificate filed,selfie+vendor_report+next_due_date,FMS.6.c,FMS.6.c,85,proposed,
FT-032,MGPS,Oxygen Failure Mock Drill,ICU/OT,"Mock drill — simulate complete oxygen failure, deploy Type-B cylinders, document response",quarterly,90,end of quarter,in_house,,Type-B cylinders deployed within 2 min; clinical staff aware of protocol; gaps logged,selfie+photo,FMS.6.e (also FMS_6d_Oxygen_Failure_Mock_Drill template),FMS.6.e,85,proposed,Template exists in Drive: FMS_6d_Oxygen_Failure_Mock_Drill_Record
FT-033,MGPS,MGPS Annual,Whole System,Annual comprehensive MGPS audit by certified vendor — full service + recertification,annual,365,installation anniversary,amc_supervised,Green ASU Plant (installer),Annual MGPS certification renewed; all components serviced; vendor report comprehensive,selfie+vendor_report+next_due_date,FMS.6.c,"FMS.6.c, FMS.6.a",95,proposed,
FT-034,Electrical,Main LT Panel,Electrical Room,"Main LT panel walk-by — voltage/current readings, no abnormal sounds, no scorching/heating",daily,1,every day,in_house,,Voltage 220–240V per phase; no humming/buzzing; panel surface cool to touch,selfie+photo+reading,"FMS.2.d, FMS.3.c","FMS.2.d, FMS.3.c",90,proposed,
FT-035,Electrical,DG Set #1,DG Room,"Cummins DG #1 (250 kVA) daily check — fuel level, oil level, coolant, battery voltage, no leaks",daily,1,every day,in_house,,Fuel ≥50%; oil within dipstick range; coolant at level; battery ≥24V; no leaks,selfie+photo+reading,"FMS.2.d, FMS.4.c","FMS.2.d, FMS.4.c",95,proposed,
FT-036,Electrical,DG Set #2,DG Room,"Cummins DG #2 (250 kVA) daily check — fuel level, oil level, coolant, battery voltage, no leaks",daily,1,every day,in_house,,Fuel ≥50%; oil within dipstick range; coolant at level; battery ≥24V; no leaks,selfie+photo+reading,"FMS.2.d, FMS.4.c","FMS.2.d, FMS.4.c",95,proposed,
FT-037,Electrical,UPS,UPS Room,"UPS systems (360 kVA total) — input voltage, output voltage, battery status, fault indicators",daily,1,every day,in_house,,Input/output green; battery indicator showing charged; no fault/bypass mode,selfie+photo+reading,"FMS.2.d, FMS.4.c",FMS.2.d,90,proposed,
FT-038,Electrical,Distribution Boards,All Floors,"DB visual walk — locked, no scorching, no exposed wires, labels legible",weekly,7,every Tuesday,in_house,,All DBs locked; no smell of burning; no exposed conductors; circuit labels readable,selfie+photo,FMS.3.c,FMS.3.c,80,proposed,
FT-039,Electrical,DG Test Run,DG Room,"DG #1 + #2 weekly off-load test run (5 min each) — start, stabilize, parameters in spec",weekly,7,every Saturday,in_house,,Both DGs start within 10 sec; stable RPM/Hz; oil pressure normal; no abnormal noise,selfie+photo+reading,"FMS.2.d, FMS.4.c",FMS.2.d,90,proposed,Run outside peak clinical hours
FT-040,Electrical,Earthing,Earth Pits,Earth pit watering — pour water in all earth pits to maintain conductivity,monthly,30,1st of month,in_house,,All earth pits watered; pit covers replaced; visual no corrosion at strip,selfie+photo,FMS.3.c,FMS.3.c,70,proposed,
FT-041,Electrical,DG Set,DG Room,"DG monthly load test — run on full hospital load for 30 min, monitor parameters",monthly,30,15th of month,in_house,,DG handles full load; voltage/freq stable; oil temp/pressure within range; AMF works,selfie+photo+reading,"FMS.2.f, FMS.4.c",FMS.2.f,85,proposed,
FT-042,Electrical,UPS,UPS Room,"UPS battery health check — record cell voltages, log capacity test result",monthly,30,1st of month,in_house,,All cell voltages within ±0.1V; battery capacity ≥80% rated; aged cells flagged,selfie+photo+reading,"FMS.2.f, FMS.4.c",FMS.2.f,80,proposed,
FT-043,Electrical,UPS,Whole Building,"UPS auto-transfer test — kill mains briefly, confirm UPS transfer in <10ms, no equipment trip",monthly,30,15th of month,in_house,,UPS holds load; ICU/OT/IT equipment did not reset; switchover logged,selfie+photo,FMS.2.f,FMS.2.f,90,proposed,Coordinate carefully — perform during low-clinical-load window
FT-044,Electrical,DG Battery,DG Room,DG battery electrolyte top-up + terminal cleaning + load test (where applicable),monthly,30,end of month,in_house,,Electrolyte at level; terminals clean & greased; cranking voltage holds ≥10V under load,selfie+photo+reading,FMS.4.c,FMS.4.c,75,proposed,
FT-045,Electrical,DG Set,DG Room,"Quarterly DG comprehensive service by AMC vendor (filters, oil change as scheduled, hoses)",quarterly,90,1st month of quarter,amc_supervised,Cummins AMC vendor,Service per OEM schedule; oil/filter change as due; service report filed,selfie+vendor_report+next_due_date,FMS.4.c,FMS.4.c,85,proposed,
FT-046,Electrical,Electrical Audit,Whole Building,Annual electrical safety audit by Class I licensed contractor (BESCOM-mandated),annual,365,audit anniversary,statutory,Class I Electrical Contractor,"Audit covers main panel, DBs, earthing, cable mgmt, load distribution, emergency power",selfie+vendor_report+next_due_date,FMS.3.c,FMS.3.c,95,proposed,
FT-047,Electrical,Earthing,Earth Pits,"Annual earth resistance measurement — all earth pits, value <1 ohm",annual,365,electrical audit time,amc_supervised,Class I Electrical Contractor,Earth resistance <1 ohm at each pit; readings documented; deviations flagged for CAPA,selfie+vendor_report+next_due_date,FMS.3.c,FMS.3.c,90,proposed,
FT-048,Electrical,DG Set,DG Room,Annual DG complete overhaul + load bank test by Cummins AMC,annual,365,DG installation anniversary,amc_supervised,Cummins AMC vendor,Full service per OEM annual schedule; load bank test at 110% rated; report filed,selfie+vendor_report+next_due_date,FMS.4.c,FMS.4.c,85,proposed,
FT-049,Water,BWSSB Inlet,Inlet Point,"BWSSB municipal water — confirm supply present, valve open, no leakage at inlet",daily,1,every day,in_house,,Inlet flowing; no leaks at meter or valve; pressure adequate to fill UG tank,selfie+photo,FMS.2.d,FMS.2.d,75,proposed,
FT-050,Water,UG Water Tank,UG Tank Room,"Underground tank level + pump operation — float switch working, pumps not dry-running",daily,1,every day,in_house,,UG tank level ≥40%; transfer pumps operate on demand; no dry-run alarm,selfie+photo+reading,FMS.2.d,FMS.2.d,80,proposed,
FT-051,Water,OH Water Tank,Roof,"Overhead tank level — visual + sensor, distribution lines pressurized",daily,1,every day,in_house,,OH tank ≥60%; distribution to all floors maintained; no overflow,selfie+photo+reading,FMS.2.d,FMS.2.d,80,proposed,
FT-052,Water,Borewell,Pump Yard,"Borewell pump operation — current draw, pressure delivery, motor temp",weekly,7,every Monday,in_house,,Borewell pump runs without tripping; pressure ≥1 kg/cm² at UG tank fill; motor OK,selfie+photo+reading,"FMS.2.d, FMS.2.e","FMS.2.d, FMS.2.e",70,proposed,
FT-053,Water,Water Quality,Sampling Points,Free chlorine + pH + clarity test at 3 patient-area taps,weekly,7,every Wednesday,in_house,,Free chlorine 0.2–0.5 ppm; pH 6.5–8.5; visually clear; record per tap,selfie+photo+reading,FMS.2.d,FMS.2.d,85,proposed,
FT-054,Water,Tanker Supply,Tanker Bay,"Verify tanker supply protocol ready — tanker contact, fill point, isolation valve operational",monthly,30,1st of month,in_house,,Tanker vendor contact current; fill connection accessible; isolation valve works,selfie+photo,FMS.2.e,FMS.2.e,60,proposed,
FT-055,Water,Alternate Water Switchover,UG Tank,"Test switchover from BWSSB to borewell — operate manual valves, verify continuity",monthly,30,15th of month,in_house,,BWSSB isolated; borewell takes over; tank fills from borewell; restored after test,selfie+photo,FMS.2.f,FMS.2.f,75,proposed,
FT-056,Water,UG + OH Tanks,Tank Rooms,Quarterly tank cleaning + disinfection (mandated per FMS.2.d),quarterly,90,calendar quarter,amc_supervised,Tank cleaning vendor,"Tanks emptied, scrubbed, chlorinated; restart with treated water; certificate filed",selfie+vendor_report+next_due_date,FMS.2.d,FMS.2.d,90,proposed,FMS.2.d explicitly requires every-3-month cleaning
FT-057,Water,Water Quality,NABL Lab Sample,Comprehensive water quality test — microbial + chemical parameters by NABL lab,quarterly,90,1st month of quarter,amc_supervised,NABL accredited lab,All parameters within IS:10500 potable water standard; microbial absent,selfie+vendor_report+next_due_date,FMS.2.d,FMS.2.d,85,proposed,
FT-058,HVAC,VRF Outdoor Units,Roof,"VRF outdoor units (Carrier + Toshiba) — running status, no error codes, fans free",daily,1,every day,in_house,,All ODUs running per zone demand; no error codes on display; fans rotate freely,selfie+photo,FMS.1.a,"FMS.1.a, FMS.4.c",70,proposed,
FT-059,HVAC,OT Air Handling,"OT 1, OT 2, OT 3",OT positive pressure verification (door swing test or magnehelic if installed),daily,1,every day,in_house,,Door swing test confirms positive pressure outward; or magnehelic ≥+15 Pa,selfie+photo+reading,FMS.1.a,FMS.1.a,90,proposed,
FT-060,HVAC,OT Temp/Humidity,"OT 1, OT 2, OT 3",OT temperature + humidity log (per OT),daily,1,every day,in_house,,"Temp 18–22°C; humidity 40–60% RH; logged per OT, all three",selfie+photo+reading,"FMS.1.a, COP_13_14_OT",FMS.1.a,85,proposed,
FT-061,HVAC,ICU Temp/Humidity,ICU,ICU temperature + humidity log (single zone),daily,1,every day,in_house,,Temp 22–26°C; humidity 40–60% RH; logged,selfie+photo+reading,COP_9_ICU,FMS.1.a,75,proposed,
FT-062,HVAC,Indoor Units (IDU),Patient Care Areas,"IDU visual sweep — 1 floor per day rotation — no leaks, no abnormal noise",daily,1,rotating floors,in_house,,No water dripping; no rattling; supply air felt at vents,selfie+photo,FMS.1.a,"FMS.1.a, FMS.4.c",60,proposed,
FT-063,HVAC,IDU Filters,Patient Care Areas,"Indoor unit filter cleaning — soft brush + wash, dry, reinstall (zone rotation)",monthly,30,rotating floors,in_house,,Filters washed and reinstalled; airflow improved; recorded per IDU,selfie+photo,FMS.4.c,FMS.4.c,75,proposed,
FT-064,HVAC,OT HEPA Filter,"OT 1, OT 2, OT 3",OT HEPA filter pressure differential check (if magnehelic installed),monthly,30,15th of month,in_house,,Pressure drop within manufacturer spec; flag rising trend for filter change,selfie+photo+reading,FMS.4.c,FMS.4.c,85,proposed,
FT-065,HVAC,VRF System,Whole Building,"Quarterly comprehensive VRF service by Carrier/Toshiba AMC — refrigerant pressure, motor checks",quarterly,90,1st month of quarter,amc_supervised,Carrier / Toshiba AMC vendor,Refrigerant pressures within spec; coils cleaned; AMC report filed,selfie+vendor_report+next_due_date,FMS.4.c,FMS.4.c,80,proposed,
FT-066,HVAC,OT HEPA Filter,"OT 1, OT 2, OT 3",OT HEPA filter replacement (typical 12 months or as pressure indicates),annual,365,installation anniversary,amc_supervised,HVAC AMC vendor,HEPA filters replaced; integrity test (PAO/DOP) where applicable; certificate filed,selfie+vendor_report+next_due_date,FMS.4.c,FMS.4.c,90,proposed,
FT-067,HVAC,OT Air Validation,"OT 1, OT 2, OT 3","Annual OT air quality validation — particle count, microbial, ACH, pressure differentials",annual,365,validation anniversary,amc_supervised,NABL OT validation agency,Class ISO-7 particle count; microbial absent; ACH ≥20; positive pressure verified,selfie+vendor_report+next_due_date,FMS.4.d,FMS.4.d,95,proposed,
FT-068,Lifts,Lift 1 Passenger,Lift Lobby,"Lift 1 daily operation — door open/close, levelling, button response, emergency phone",daily,1,every day,in_house,,Doors operate smoothly; levels within ±10mm; all floor buttons respond; emergency phone connects,selfie+photo,FMS.1.a,FMS.1.a,80,proposed,
FT-069,Lifts,Lift 2 Passenger,Lift Lobby,"Lift 2 daily operation — door open/close, levelling, button response, emergency phone",daily,1,every day,in_house,,Doors operate smoothly; levels within ±10mm; all floor buttons respond; emergency phone connects,selfie+photo,FMS.1.a,FMS.1.a,80,proposed,
FT-070,Lifts,Lift 3 Patient,Lift Lobby,"Lift 3 (Patient) daily operation — door open/close, stretcher fit, emergency phone, ARD function",daily,1,every day,in_house,,Stretcher loads/unloads cleanly; ARD verbal check OK; emergency phone connects,selfie+photo,"FMS.1.a, FMS.1.b","FMS.1.a, FMS.1.b",90,proposed,
FT-071,Lifts,Lift Cabins,Lift Lobby,"Cabin condition — flooring, walls, mirror, capacity signage, lighting",weekly,7,every Monday,in_house,,No damage; capacity sign legible; lighting OK; floor non-slip,selfie+photo,FMS.1.a,FMS.1.a,60,proposed,
FT-072,Lifts,All 3 Lifts,Lift Machine Room,"Monthly comprehensive lift servicing by AMC — ropes, brakes, doors, controller",monthly,30,calendar month,amc_supervised,Lift AMC vendor (OEM or service),"Ropes inspected (tension, wear); brakes adjusted; doors aligned; service report filed",selfie+vendor_report+next_due_date,"FMS.1.a, FMS.4.c","FMS.1.a, FMS.4.c",85,proposed,
FT-073,Lifts,All 3 Lifts,Whole Building,Annual statutory lift inspection by Govt-authorized inspector (Inspectorate of Factories Karnataka),annual,365,Lift Inspection cert anniversary,statutory,Inspectorate of Factories Karnataka,Inspection certificate renewed; gaps closed; certificate displayed in lift,selfie+vendor_report+next_due_date,Karnataka Lifts Act,FMS.1.a,95,proposed,
FT-074,Plumbing,Sluice Rooms,All Floors,"Sluice room flush + condition check — drain unclogged, no smell, gloves available",daily,1,every day,in_house,,Drain free-flowing; no foul smell; PPE available; cleaning agents stocked,selfie+photo,"FMS.3.e, COP IPC","FMS.3.e, FMS.4.c",70,proposed,
FT-075,Plumbing,Public Drains,All Floors,"Drain inspection walk — corridor + washroom drains free-flowing, no overflow",daily,1,every day,in_house,,All drains free; no standing water; no overflow at floor traps,selfie+photo,FMS.4.c,FMS.4.c,65,proposed,
FT-076,Plumbing,Drain Traps,All Floors,Drain trap flush with disinfectant (rotating zone),weekly,7,rotating floors,in_house,,Trap flushed; disinfectant added; no foul smell post-flush,selfie+photo,FMS.3.e,FMS.4.c,60,proposed,
FT-077,Plumbing,Plumbing Lines,All Floors,"Visual sweep for leaks at exposed plumbing — under sinks, near washrooms, ceilings",weekly,7,every Friday,in_house,,No active leaks; no staining indicating slow leaks; CAPA raised for any drips,selfie+photo,FMS.4.c,FMS.4.c,65,proposed,
FT-078,Plumbing,STP / Sewage,STP Yard (if installed),"STP plant operation check (if installed) — pumps, blowers, effluent quality",monthly,30,15th of month,amc_supervised,STP O&M vendor (if applicable),Pumps/blowers operational; effluent visually clear; KSPCB parameters within spec,selfie+vendor_report+next_due_date,"FMS.2.e, KSPCB CFO",FMS.2.e,75,proposed,Confirm with Charan whether EHRC has STP or connects to BBMP sewer line
FT-079,Building,Floors,All Floors,"Floor condition walk — slips, cracks, lifted tiles, water seepage",daily,1,every day,in_house,,No active hazards; CAPA raised for cracks/lifted tiles; non-slip integrity intact,selfie+photo,"FMS.1.a, FMS.3.b","FMS.1.a, FMS.3.b",70,proposed,
FT-080,Building,Ramp,Ramp - Main Entrance,"Ramp condition — non-slip surface, handrails secure, no cracks",daily,1,every day,in_house,,Surface non-slip; handrails firm; gradient unobstructed; no cracks/chips,selfie+photo,FMS.1.b,FMS.1.b,75,proposed,
FT-081,Building,Walls / Ceilings,All Floors,"Walls + ceilings inspection — dampness, cracks, paint peeling, water marks",weekly,7,rotating floors,in_house,,No new dampness; no cracks; paint intact; ceiling tiles secure,selfie+photo,FMS.3.b,FMS.3.b,60,proposed,
FT-082,Building,Handrails,Corridors + Staircases,Handrail tightness + condition check — all wall-mounted handrails in patient corridors + stairs,monthly,30,1st of month,in_house,,All handrails firm to push/pull test; no rust; brackets secured,selfie+photo,"FMS.1.a, FMS.1.b","FMS.1.a, FMS.1.b",75,proposed,
FT-083,Building,Grab Bars,Patient Washrooms,Grab bar tightness check — every patient room washroom + disabled WC,monthly,30,1st of month,in_house,,All grab bars firm; brackets tight; no rust; rated load OK,selfie+photo,"FMS.1.a, FMS.1.b","FMS.1.a, FMS.1.b",80,proposed,
FT-084,Building,External Walls / Roof,Roof + Outdoor,"External wall and roof inspection — paint, cracks, water-pooling, drainage",quarterly,90,1st month of quarter,in_house,,No water pooling; drainage outlets clear; paint integrity OK,selfie+photo,FMS.3.b,FMS.3.b,60,proposed,
FT-085,Building,Structural,Whole Building,"Annual visual structural assessment — load-bearing walls, beams, columns by qualified engineer",annual,365,structural cert anniversary,statutory,Structural engineer (qualified),No new cracks/settlement; assessment report filed; CAPA for any flagged items,selfie+vendor_report+next_due_date,FMS.3.b,FMS.3.b,80,proposed,
FT-086,Patient Safety,Nurse Call Bells,Patient Rooms,"Nurse call bell test — random sample 4 rooms per floor each day, button press confirmed at station",daily,1,rotating rooms,in_house,,Bell press registers at nursing station; light at door illuminates; reset works,selfie+photo,FMS.1.a,FMS.1.a,80,proposed,
FT-087,Patient Safety,Bed Brakes,Patient Rooms,Lockable wheel verification — random sample 4 cots per floor — brakes engage and hold,weekly,7,rotating rooms,in_house,,All 4 wheels lockable; cot does not move when braked; CAPA for any failures,selfie+photo,FMS.1.a,FMS.1.a,70,proposed,
FT-088,Patient Safety,Bed Rails,Patient Rooms,Bed rail latch + drop check — random sample 4 cots per floor,weekly,7,rotating rooms,in_house,,Rails latch securely; drop mechanism smooth; rails hold patient weight,selfie+photo,FMS.1.a,FMS.1.a,70,proposed,
FT-089,Patient Safety,Wheelchairs,Reception + ICU corridor,Wheelchair availability + condition — at main entrance + ER entrance + ICU corridor,daily,1,every day,in_house,,Minimum stock per location; brakes work; tyres inflated; foot rests intact,selfie+photo,FMS.1.b,FMS.1.b,65,proposed,
FT-090,Signage,Directional Signage,All Floors,"Directional + departmental signage walk — legible, intact, illuminated where required",weekly,7,every Thursday,in_house,,All signs present; legible; illuminated signs lit; no damage,selfie+photo,FMS.2.c,FMS.2.c,60,proposed,
FT-091,Signage,Statutory Signage,Reception,"Statutory signage display — KPME, fire NOC, no-smoking, BMW, fee schedule, patient rights",monthly,30,1st of month,in_house,,All statutory signage current and visible at reception/billing,selfie+photo,"FMS.2.c, KPME Act",FMS.2.c,80,proposed,
FT-092,Signage,Emergency Signage,All Floors,Fire exit signs + evacuation route signage — illuminated check during simulated power fail,monthly,30,15th of month,in_house,,All fire-exit signs illuminate on backup; evacuation route arrows visible from anywhere,selfie+photo,"FMS.2.c, FMS.1.a","FMS.2.c, FMS.1.a",85,proposed,
FT-093,Hazmat & BMW,BMW Storage,BMW Storage Area,"BMW storage area daily check — bins segregated by colour, no overflow, area locked, vendor pickup on schedule",daily,1,every day,in_house,,Yellow/red/blue/white containers segregated; lids closed; area secure; pickup logged,selfie+photo,"FMS.3.e, BMW Rules 2016",FMS.3.e,90,proposed,
